RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POINTS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,STATUSID,STATUS
917,826,5,17,11,0.0,70,209.219,1:14.144,11,+1 Lap
917,813,208,16,12,0.0,70,207.357,1:14.810,11,+1 Lap
917,818,5,15,13,0.0,70,207.457,1:14.774,11,+1 Lap
917,821,15,11,14,0.0,70,207.177,1:14.875,11,+1 Lap
917,815,10,18,15,0.0,70,208.080,1:14.550,11,+1 Lap
917,16,15,13,16,0.0,70,207.290,1:14.834,11,+1 Lap
917,154,208,14,17,0.0,63,209.428,1:14.070,18,+8 Laps
917,817,9,9,18,0.0,39,205.770,1:15.387,22,Suspension
918,1,131,2,1,50.0,55,189.342,1:45.599,1,Finished
918,13,3,4,2,36.0,55,190.738,1:44.826,1,Finished
918,822,3,3,3,30.0,55,189.113,1:45.727,1,Finished
918,817,9,20,4,24.0,55,191.341,1:44.496,1,Finished
918,18,1,6,5,20.0,55,187.320,1:46.739,1,Finished
918,807,10,12,6,16.0,55,189.024,1:45.777,1,Finished
918,815,10,11,7,12.0,55,188.968,1:45.808,1,Finished
918,20,9,19,8,8.0,55,189.427,1:45.552,1,Finished
918,4,6,8,9,4.0,55,186.126,1:47.424,1,Finished
918,8,6,7,10,2.0,55,185.586,1:47.736,1,Finished
918,825,1,9,11,0.0,55,187.171,1:46.824,1,Finished
918,818,5,10,12,0.0,55,189.186,1:45.686,1,Finished
918,154,208,18,13,0.0,54,185.310,1:47.897,11,+1 Lap
918,3,131,1,14,0.0,54,187.092,1:46.869,11,+1 Lap
918,821,15,14,15,0.0,54,185.652,1:47.698,11,+1 Lap
918,16,15,13,16,0.0,54,185.980,1:47.508,11,+1 Lap
918,829,207,17,17,0.0,54,184.453,1:48.398,11,+1 Lap
918,155,207,16,18,0.0,42,186.113,1:47.431,31,Retired
918,813,208,15,19,0.0,26,183.547,1:48.933,131,Power Unit
918,826,5,5,20,0.0,14,183.859,1:48.748,131,Power Unit
926,1,131,1,1,25.0,58,209.915,1:30.945,1,Finished
926,3,131,2,2,18.0,58,209.577,1:31.092,1,Finished
926,20,6,4,3,15.0,58,208.740,1:31.457,1,Finished
926,13,3,3,4,12.0,58,208.144,1:31.719,1,Finished
926,831,15,10,5,10.0,58,206.137,1:32.612,1,Finished
926,817,9,6,6,8.0,57,205.726,1:32.797,11,+1 Lap
926,807,10,13,7,6.0,57,207.576,1:31.970,11,+1 Lap
