RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POINTS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,STATUSID,STATUS
186,15,20,12,12,0.0,44,,,1,Finished
186,44,20,17,13,0.0,44,,,1,Finished
186,25,22,15,14,0.0,44,,,1,Finished
186,35,16,11,15,0.0,43,,,11,+1 Lap
186,48,18,21,16,0.0,43,,,11,+1 Lap
186,37,21,22,17,0.0,35,,,7,Transmission
186,69,18,20,18,0.0,33,,,22,Suspension
186,41,16,14,19,0.0,33,,,6,Gearbox
186,65,24,10,20,0.0,27,,,23,Brakes
186,64,15,18,21,0.0,19,,,20,Spun off
186,68,21,19,22,0.0,0,,,8,Clutch
187,49,17,2,1,10.0,53,,,1,Finished
187,23,3,5,2,6.0,53,,,1,Finished
187,63,6,6,3,4.0,53,,,1,Finished
187,22,24,7,4,3.0,53,,,1,Finished
187,14,1,3,5,2.0,53,,,1,Finished
187,56,6,8,6,1.0,53,,,1,Finished
187,70,3,4,7,0.0,53,,,1,Finished
187,35,16,11,8,0.0,53,,,1,Finished
187,55,15,13,9,0.0,53,,,1,Finished
187,71,17,9,10,0.0,53,,,1,Finished
187,44,20,10,11,0.0,52,,,5,Engine
187,65,24,15,12,0.0,40,,,8,Clutch
187,68,21,22,13,0.0,35,,,20,Spun off
187,37,21,21,14,0.0,35,,,54,Withdrew
187,57,1,1,15,0.0,29,,,20,Spun off
187,15,20,12,16,0.0,29,,,25,Overheating
187,41,16,18,17,0.0,25,,,67,Wheel bearing
187,69,18,19,18,0.0,23,,,4,Collision
187,25,22,14,19,0.0,11,,,10,Electrical
187,64,15,16,20,0.0,1,,,20,Spun off
187,21,22,17,21,0.0,1,,,20,Spun off
187,48,18,20,22,0.0,0,,,4,Collision
188,65,24,14,1,10.0,66,,,1,Finished
188,15,20,10,2,6.0,66,,,1,Finished
188,22,24,15,3,4.0,66,,,1,Finished
188,23,3,4,4,3.0,66,,,1,Finished
188,57,1,3,5,2.0,66,,,1,Finished
188,48,18,20,6,1.0,66,,,1,Finished
188,56,6,9,7,0.0,66,,,1,Finished
188,41,16,17,8,0.0,65,,,11,+1 Lap
188,44,20,5,9,0.0,65,,,11,+1 Lap
188,35,16,8,10,0.0,61,,,8,Clutch
188,69,18,19,11,0.0,53,,,6,Gearbox
188,37,21,22,12,0.0,52,,,6,Gearbox
188,21,22,6,13,0.0,48,,,20,Spun off
188,63,6,12,14,0.0,44,,,23,Brakes
188,68,21,21,15,0.0,42,,,20,Spun off
188,14,1,2,16,0.0,37,,,20,Spun off
188,55,15,16,17,0.0,35,,,86,Halfshaft
188,49,17,1,18,0.0,32,,,10,Electrical
188,70,3,18,19,0.0,10,,,4,Collision
188,71,17,7,20,0.0,0,,,10,Electrical
188,25,22,11,21,0.0,0,,,4,Collision
188,64,15,13,22,0.0,0,,,4,Collision
189,56,6,2,1,10.0,56,,,1,Finished
189,30,6,1,2,6.0,56,,,1,Finished
189,57,1,4,3,4.0,56,,,1,Finished
189,65,24,5,4,3.0,56,,,1,Finished
189,22,24,6,5,2.0,56,,,1,Finished
189,49,17,14,6,1.0,56,,,1,Finished
189,55,15,15,7,0.0,56,,,1,Finished
189,25,22,7,8,0.0,56,,,1,Finished
189,48,18,19,9,0.0,55,,,11,+1 Lap
189,70,3,16,10,0.0,55,,,11,+1 Lap
189,21,22,11,11,0.0,52,,,14,+4 Laps
189,35,16,10,12,0.0,48,,,9,Hydraulics
189,64,15,17,13,0.0,44,,,20,Spun off
189,37,21,20,14,0.0,30,,,5,Engine
189,69,18,21,15,0.0,15,,,20,Spun off
189,14,1,3,16,0.0,14,,,32,Fuel pressure
189,23,3,8,17,0.0,7,,,20,Spun off
189,68,21,22,18,0.0,7,,,7,Transmission
189,41,16,13,19,0.0,6,,,5,Engine
189,44,20,12,20,0.0,5,,,5,Engine
189,71,17,9,21,0.0,0,,,4,Collision
189,15,20,18,22,0.0,0,,,5,Engine
190,57,1,2,1,10.0,53,,,1,Finished
190,30,6,1,2,6.0,53,,,1,Finished
190,56,6,5,3,4.0,53,,,1,Finished
190,49,17,4,4,3.0,53,,,1,Finished
190,23,3,9,5,2.0,53,,,1,Finished
190,55,15,10,6,1.0,52,,,11,+1 Lap
190,65,24,8,7,0.0,52,,,11,+1 Lap
190,22,24,13,8,0.0,52,,,11,+1 Lap
190,35,16,11,9,0.0,52,,,11,+1 Lap
190,25,22,15,10,0.0,52,,,11,+1 Lap
190,64,15,17,11,0.0,52,,,11,+1 Lap
190,41,16,18,12,0.0,52,,,11,+1 Lap
