RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POSITION,POINTS,STATUSID,STATUS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,ESTIMATED_FINISH_TIME,ESTIMATED_FINISH_TIME_STR,AVG_LAP_TIME
907,820,206,21,17,17.0,0.0,12,+2 Laps,69,208.072,1:14.847,6069.233,0 days 01:41:09.233000,77.01095652173913
907,828,207,20,18,18.0,0.0,12,+2 Laps,69,208.56,1:14.672,6077.726,0 days 01:41:17.726000,77.11871014492753
907,821,15,17,19,19.0,0.0,12,+2 Laps,69,210.351,1:14.036,6078.059,0 days 01:41:18.059000,77.1229420289855
907,818,5,14,20,,0.0,23,Brakes,59,212.414,1:13.317,7625.297,0 days 02:07:05.297000,76.16918644067796
907,20,9,12,21,,0.0,10,Electrical,34,209.734,1:14.254,12188.097,0 days 03:23:08.097000,79.47376470588236
907,826,5,7,22,,0.0,22,Suspension,24,209.514,1:14.332,13334.905,0 days 03:42:14.905000,76.34779166666667
908,1,131,6,1,1.0,25.0,1,Finished,52,218.239,1:37.176,5212.094,0 days 01:26:52.094000,100.23257692307692
908,822,3,14,2,2.0,18.0,1,Finished,52,215.822,1:38.264,5242.229,0 days 01:27:22.229000,100.81209615384616
908,817,9,8,3,3.0,15.0,1,Finished,52,215.395,1:38.459,5258.589,0 days 01:27:38.589000,101.12671153846154
908,18,1,3,4,4.0,12.0,1,Finished,52,215.778,1:38.284,5259.484,0 days 01:27:39.484000,101.14392307692307
908,20,9,2,5,5.0,10.0,1,Finished,52,217.556,1:37.481,5265.958,0 days 01:27:45.958000,101.26842307692309
908,4,6,16,6,6.0,8.0,1,Finished,52,215.115,1:38.587,5272.04,0 days 01:27:52.040000,101.3853846153846
908,825,1,5,7,7.0,6.0,1,Finished,52,214.919,1:38.677,5274.657,0 days 01:27:54.657000,101.43571153846156
908,807,10,4,8,8.0,4.0,1,Finished,52,215.032,1:38.625,5300.786,0 days 01:28:20.786000,101.9381923076923
908,826,5,9,9,9.0,2.0,1,Finished,52,215.509,1:38.407,5301.434,0 days 01:28:21.434000,101.95065384615386
908,818,5,10,10,10.0,1.0,11,+1 Lap,51,213.654,1:39.261,5742.859,0 days 01:35:42.859000,102.2588823529412
908,815,10,7,11,11.0,0.0,11,+1 Lap,51,214.834,1:38.716,5751.501,0 days 01:35:51.501000,102.41276470588237
908,154,208,11,12,12.0,0.0,11,+1 Lap,51,214.393,1:38.919,5754.55,0 days 01:35:54.550000,102.4670588235294
908,16,15,13,13,13.0,0.0,11,+1 Lap,51,211.989,1:40.041,5775.219,0 days 01:36:15.219000,102.8350980392157
908,824,206,12,14,14.0,0.0,11,+1 Lap,51,212.158,1:39.961,5812.6,0 days 01:36:52.600000,103.50070588235296
908,155,207,22,15,15.0,0.0,12,+2 Laps,50,209.02,1:41.462,6090.955,0 days 01:41:30.955000,105.5259
908,820,206,17,16,16.0,0.0,12,+2 Laps,50,211.233,1:40.399,6127.04,0 days 01:42:07.040000,106.15108
908,813,208,20,17,17.0,0.0,13,+3 Laps,49,211.412,1:40.314,6119.739,0 days 01:41:59.739000,103.2344693877551
908,3,131,1,18,,0.0,6,Gearbox,28,216.203,1:38.091,9285.482,0 days 02:34:45.482000,100.88528571428571
908,828,207,21,19,,0.0,22,Suspension,11,203.295,1:44.319,13093.529,0 days 03:38:13.529000,110.438
908,821,15,19,20,,0.0,4,Collision,9,206.77,1:42.566,13124.31,0 days 03:38:44.310000,107.8592222222222
908,13,3,15,21,,0.0,4,Collision,0,,,,NaT,
908,8,6,18,22,,0.0,4,Collision,0,,,,NaT,
909,3,131,1,1,1.0,25.0,1,Finished,67,202.543,1:21.298,5622.914,0 days 01:33:42.914000,83.9240895522388
909,822,3,2,2,2.0,18.0,1,Finished,67,202.056,1:21.494,5643.703,0 days 01:34:03.703000,84.23437313432837
909,1,131,20,3,3.0,15.0,1,Finished,67,206.066,1:19.908,5645.444,0 days 01:34:05.444000,84.26035820895522
909,20,9,6,4,4.0,12.0,1,Finished,67,201.93,1:21.545,5666.928,0 days 01:34:26.928000,84.58101492537314
909,4,6,7,5,5.0,10.0,1,Finished,67,204.429,1:20.548,5675.381,0 days 01:34:35.381000,84.70717910447762
909,817,9,5,6,6.0,8.0,1,Finished,67,203.676,1:20.846,5675.463,0 days 01:34:35.463000,84.70840298507463
909,807,10,9,7,7.0,6.0,1,Finished,67,200.57,1:22.098,5687.092,0 days 01:34:47.092000,84.88197014925373
909,18,1,11,8,8.0,4.0,1,Finished,67,202.424,1:21.346,5707.625,0 days 01:35:07.625000,85.18843283582089
909,825,1,4,9,9.0,2.0,11,+1 Lap,66,205.255,1:20.224,6167.967,0 days 01:42:47.967000,85.24001515151515
909,815,10,10,10,10.0,1.0,11,+1 Lap,66,203.913,1:20.752,6176.164,0 days 01:42:56.164000,85.35328787878788
909,8,6,12,11,11.0,0.0,11,+1 Lap,66,202.444,1:21.338,6185.315,0 days 01:43:05.315000,85.47975757575757
909,813,208,18,12,12.0,0.0,11,+1 Lap,66,200.065,1:22.305,6195.571,0 days 01:43:15.571000,85.62148484848485
909,818,5,13,13,13.0,0.0,11,+1 Lap,66,201.113,1:21.876,6196.379,0 days 01:43:16.379000,85.63265151515152
909,821,15,16,14,14.0,0.0,11,+1 Lap,66,200.79,1:22.008,6203.325,0 days 01:43:23.325000,85.72865151515153
909,824,206,17,15,15.0,0.0,11,+1 Lap,66,199.539,1:22.522,6241.589,0 days 01:44:01.589000,86.25745454545455
909,155,207,19,16,16.0,0.0,12,+2 Laps,65,198.711,1:22.866,6463.771,0 days 01:47:43.771000,86.91369230769232
909,820,206,21,17,17.0,0.0,12,+2 Laps,65,198.306,1:23.035,6477.593,0 days 01:47:57.593000,87.09953846153847
909,828,207,22,18,18.0,0.0,12,+2 Laps,65,197.842,1:23.230,6510.607,0 days 01:48:30.607000,87.54346153846154
909,16,15,15,19,,0.0,23,Brakes,47,199.522,1:22.529,9550.647,0 days 02:39:10.647000,86.39210638297872
909,826,5,8,20,,0.0,44,Oil leak,44,200.372,1:22.179,10099.156,0 days 02:48:19.156000,86.62854545454546
